2023-02-14 02:38:31.010 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-02-14 02:38:31.010 [info] Added views:workbench.panel.output in workbench.panel.output
2023-02-14 02:38:31.010 [info] Added views:terminal in terminal
2023-02-14 02:38:31.010 [info] Added views:outline in workbench.view.explorer
2023-02-14 02:38:31.010 [info] Added views:workbench.scm in workbench.view.scm
2023-02-14 02:38:31.010 [info] Added views:workbench.view.search in workbench.view.search
2023-02-14 02:38:31.010 [info] Added views:timeline in workbench.view.explorer
2023-02-14 02:38:31.010 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2023-02-14 02:38:31.196 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-02-14 02:38:31.530 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-02-14 02:38:31.531 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-02-14 02:38:31.532 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-02-14 02:38:40.491 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-14 02:38:40.494 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2023-02-14 02:38:40.721 [info] Added views:workbench.views.extensions.popular in workbench.view.extensions
2023-02-14 02:38:43.079 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-14 02:38:43.088 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-14 02:38:45.563 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-14 02:38:45.571 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-14 02:38:57.432 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-14 02:38:57.448 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-14 02:39:05.304 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-14 02:39:05.314 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-14 02:39:09.058 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-14 02:39:09.082 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-14 02:39:18.492 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-14 02:39:18.502 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-14 02:39:19.491 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-14 02:39:19.502 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-14 02:39:22.768 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-14 02:39:22.775 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2023-02-14 02:39:25.018 [info] Removed views:extensions.recommendedList,workbench.views.extensions.popular,workbench.views.extensions.installed from workbench.view.extensions
2023-02-14 02:39:25.031 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2023-02-14 02:39:30.684 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2023-02-14 02:39:30.695 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
